,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,4.112745523452759,6.8,0
1,बाघ,बिल्ली,6.974892616271973,7.0,0
2,किताब,कागज़,5.985890626907349,7.6,0
3,कंप्यूटर,कीबोर्ड,7.530077695846558,7.6,0
4,कंप्यूटर,इंटरनेट,8.131585717201233,8.0,1
5,विमान,कार,7.014315128326416,6.0,0
6,रेलगाड़ी,कार,6.653253436088562,6.2,0
7,टेलीफोन,संचार,6.113986968994141,7.6,0
8,टेलीविजन,रेडियो,8.47610056400299,6.4,1
9,मीडिया,रेडियो,6.366760730743408,5.8,0
10,ब्रेड,मक्खन,7.680883407592773,6.6,0
11,खीरा,आलू,8.642041087150574,5.8,1
12,चिकित्सक,नर्स,7.30951189994812,7.6,0
13,प्रोफ़ेसर,चिकित्सक,6.19077205657959,4.6,0
14,छात्र,प्रोफ़ेसर,5.5804139375686646,7.0,0
15,होशियार,छात्र,5.130172371864319,5.2,0
16,होशियार,बेवकूफ,6.153295636177063,6.2,0
17,किताब,पुस्तकालय,5.099877715110779,7.6,0
18,बैंक,पैसे,5.893449783325195,8.0,0
19,लकड़ी,जंगल,6.346297860145569,7.0,0
20,प्रोफ़ेसर,खीरा,1.5091772377490997,0.0,0
21,राजा,रानी,7.525456547737122,8.2,0
22,बिशप,रबी,1.17243230342865,7.0,0
23,यरूशलेम,इजराइल,5.763266682624817,7.8,0
24,पवित्र,सेक्स,2.694661319255829,1.0,0
25,माराडोना,फ़ुटबॉल,7.882922887802124,7.8,0
26,फ़ुटबॉल,सॉकर,8.880375027656555,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.837490439414978,6.4,0
28,फ़ुटबॉल,टेनिस,8.265293836593628,5.8,1
29,टेनिस,रैकेट,5.7451993227005005,7.4,0
30,कानून,वकील,5.455710291862488,7.8,0
31,चलचित्र,पॉपकॉर्न,3.9341986179351807,6.6,0
32,चलचित्र,आलोचक,3.8334178924560547,6.6,0
33,चलचित्र,थिएटर,6.506989598274231,8.4,0
34,पीना,कार,4.159302115440369,1.4,0
35,पीना,कान,4.91963654756546,0.4,0
36,पीना,मुंह,5.231119394302368,7.0,0
37,बच्चा,मां,5.782908201217651,7.2,0
38,पीना,मां,4.072490632534027,1.8,0
39,मणि,गहना,4.773124158382416,6.8,0
40,भट्ठी,स्टोव,7.744542360305786,8.4,0
41,भोजन,फल,6.963860392570496,6.6,0
42,पक्षी,सारस,9.14248526096344,7.4,1
43,भाई,साधु,4.011827111244202,1.4,0
44,यात्रा,कार,4.8428767919540405,6.2,0
45,साधु,गुलाम,2.947344481945038,0.2,0
46,कांच,जादूगर,4.5029667019844055,2.0,0
47,पैसे,मुद्रा,5.4985374212265015,8.6,0
48,पैसे,धन,6.73179030418396,9.2,0
49,पैसे,संपत्ति,6.2416768074035645,8.4,0
50,पैसे,बैंक,5.893449783325195,8.2,0
51,पैसे,जमा,6.243771314620972,6.6,0
52,पैसे,ऑपरेशन,4.203757643699646,2.6,0
53,बाघ,जैगुआर,5.031123161315918,8.0,0
54,बाघ,जानवर,7.669290900230408,7.6,0
55,बाघ,चिड़ियाघर,7.363624572753906,6.8,0
56,मनोविज्ञान,चिंता,3.8289475440979004,6.2,0
57,मनोविज्ञान,डर,2.490256130695343,5.2,0
58,मनोविज्ञान,डिप्रेशन,5.321743488311768,7.0,0
59,मनोविज्ञान,क्लिनिक,5.237718224525452,6.4,0
60,मनोविज्ञान,चिकित्सक,6.2418365478515625,7.0,0
61,मनोविज्ञान,मन,4.440144598484039,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.524333119392395,6.2,0
63,मनोविज्ञान,विज्ञान,8.48997950553894,7.0,1
64,मनोविज्ञान,अनुशासन,6.586153507232666,4.2,0
65,",",Accuracy,=,0.7846153846153846,
